FID,cd_identificador,dt_ocorrencia,dc_tipo_ocorrencia,nm_distrito,ge_ponto,dt_carga,nm_subprefeitura,sg_fonte_original
risco_ocorrencia_alagamento.1458,1458,2026-04-01,ALAGAMENTO,,POINT (-46.53682080000042 -23.606216415807356),2026-07-03,VP - VILA PRUDENTE,SIGRC
risco_ocorrencia_alagamento.1472,1472,2026-04-02,ALAGAMENTO,,POINT (-46.530166900000395 -23.61379431581933),2026-07-03,VP - VILA PRUDENTE,SIGRC
risco_ocorrencia_alagamento.1494,1494,2026-04-07,ALAGAMENTO,,POINT (-46.745807900000806 -23.572816815754475),2026-07-03,BT - BUTANTA,SIGRC
risco_ocorrencia_alagamento.1525,1525,2026-04-14,ALAGAMENTO,,POINT (-46.55705260000044 -23.539374115701907),2026-07-03,AF - ARICANDUVA/VILA FORMOSA,SIGRC
risco_ocorrencia_alagamento.1530,1530,2026-04-15,ALAGAMENTO,,POINT (-46.55132910000042 -23.537420715698836),2026-07-03,AF - ARICANDUVA/VILA FORMOSA,SIGRC
risco_ocorrencia_alagamento.1628,1628,2025-05-11,ALAGAMENTO,,POINT (-46.5264029000004 -23.54841321571618),2026-07-03,AF - ARICANDUVA/VILA FORMOSA,SIGRC
risco_ocorrencia_alagamento.1691,1691,2026-06-24,ALAGAMENTO,,POINT (-46.76416010000085 -23.578792615763888),2026-07-03,BT - BUTANTA,SIGRC
risco_ocorrencia_alagamento.1701,1701,2026-06-23,ALAGAMENTO,,POINT (-46.7851052000009 -23.6819747159269),2026-07-03,CL - CAMPO LIMPO,SIGRC
risco_ocorrencia_alagamento.1713,1713,2026-06-23,ALAGAMENTO,,POINT (-46.659735900000626 -23.454751415568634),2026-07-03,CV - CASA VERDE/CACHOEIRINHA,SIGRC
risco_ocorrencia_alagamento.1742,1742,2026-06-24,ALAGAMENTO,,POINT (-46.75554760000083 -23.53368721569279),2026-07-03,LA - LAPA,SIGRC
risco_ocorrencia_alagamento.1755,1755,2026-06-23,ALAGAMENTO,,POINT (-46.62512400000054 -23.546947215713804),2026-07-03,MO - MOOCA,SIGRC
risco_ocorrencia_alagamento.1762,1762,2026-06-24,ALAGAMENTO,,POINT (-46.51885250000038 -23.547299415714413),2026-07-03,PE - PENHA,SIGRC
risco_ocorrencia_alagamento.1764,1764,2026-06-26,ALAGAMENTO,,POINT (-46.5364301000004 -23.51583991566484),2026-07-03,PE - PENHA,SIGRC
risco_ocorrencia_alagamento.1798,1798,2026-06-24,ALAGAMENTO,,POINT (-46.405633100000266 -23.491177515626067),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.1799,1799,2026-06-24,ALAGAMENTO,,POINT (-46.45785110000031 -23.486122715618098),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.1819,1819,2026-06-23,ALAGAMENTO,,POINT (-46.52817150000041 -23.612043115816576),2026-07-03,VP - VILA PRUDENTE,SIGRC
risco_ocorrencia_alagamento.668,668,2026-02-01,ALAGAMENTO,,POINT (-46.62849690000054 -23.634691715852284),2026-07-03,IP - IPIRANGA,SIGRC
risco_ocorrencia_alagamento.681,681,2026-02-01,ALAGAMENTO,,POINT (-46.685314000000645 -23.718676415985097),2026-07-03,CS - CAPELA DO SOCORRO,SIGRC
risco_ocorrencia_alagamento.689,689,2026-02-01,ALAGAMENTO,,POINT (-46.775157000000874 -23.71321801597637),2026-07-03,MB - MBOI MIRIM,SIGRC
risco_ocorrencia_alagamento.699,699,2026-02-01,ALAGAMENTO,,POINT (-46.69176540000067 -23.757601816046776),2026-07-03,CS - CAPELA DO SOCORRO,SIGRC
risco_ocorrencia_alagamento.700,700,2026-02-01,ALAGAMENTO,,POINT (-46.48785770000034 -23.58034031576654),2026-07-03,IQ - ITAQUERA,SIGRC
risco_ocorrencia_alagamento.722,722,2026-02-02,ALAGAMENTO,,POINT (-46.52894210000038 -23.583208415771043),2026-07-03,AF - ARICANDUVA/VILA FORMOSA,SIGRC
risco_ocorrencia_alagamento.732,732,2026-02-02,ALAGAMENTO,,POINT (-46.66771910000063 -23.741257616020885),2026-07-03,CS - CAPELA DO SOCORRO,SIGRC
risco_ocorrencia_alagamento.757,757,2026-02-03,ALAGAMENTO,,POINT (-46.41277730000025 -23.49109751562596),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.758,758,2026-02-03,ALAGAMENTO,,POINT (-46.40434640000026 -23.49054901562509),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.761,761,2026-02-03,ALAGAMENTO,,POINT (-46.46000960000031 -23.483944015614682),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.778,778,2026-02-04,ALAGAMENTO,,POINT (-46.72586100000075 -23.597546915793522),2026-07-03,BT - BUTANTA,SIGRC
risco_ocorrencia_alagamento.789,789,2026-02-05,ALAGAMENTO,,POINT (-46.75138190000082 -23.421253715515924),2026-07-03,PR - PERUS,SIGRC
risco_ocorrencia_alagamento.806,806,2026-02-06,ALAGAMENTO,,POINT (-46.405482500000254 -23.49300431562895),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.807,807,2026-02-06,ALAGAMENTO,,POINT (-46.405678400000255 -23.49253961562823),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.814,814,2026-02-07,ALAGAMENTO,,POINT (-46.406045100000256 -23.49321021562927),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.815,815,2026-02-07,ALAGAMENTO,,POINT (-46.405894900000256 -23.492422715628035),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.816,816,2026-02-07,ALAGAMENTO,,POINT (-46.405731400000256 -23.49320881562927),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.817,817,2026-02-07,ALAGAMENTO,,POINT (-46.405800700000256 -23.48925421562305),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.823,823,2026-02-07,ALAGAMENTO,,POINT (-46.410379100000256 -23.488994915622634),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.824,824,2026-02-07,ALAGAMENTO,,POINT (-46.412627100000265 -23.475970515602146),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.825,825,2026-02-07,ALAGAMENTO,,POINT (-46.415007800000275 -23.482504815612437),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.826,826,2026-02-07,ALAGAMENTO,,POINT (-46.42670280000028 -23.473008815597474),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.827,827,2026-02-08,ALAGAMENTO,,POINT (-46.413933700000264 -23.47461771560002),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.828,828,2026-02-08,ALAGAMENTO,,POINT (-46.408260800000264 -23.484492115615552),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.835,835,2026-02-08,ALAGAMENTO,,POINT (-46.403039500000254 -23.48922881562301),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.838,838,2026-02-08,ALAGAMENTO,,POINT (-46.41023800000026 -23.475813015601897),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.852,852,2026-02-09,ALAGAMENTO,,POINT (-46.406768700000256 -23.491186515626083),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.989,989,2026-02-18,ALAGAMENTO,,POINT (-46.75195810000083 -23.592513815785562),2026-07-03,BT - BUTANTA,SIGRC
risco_ocorrencia_alagamento.1008,1008,2026-02-22,ALAGAMENTO,,POINT (-46.76188840000084 -23.668284915905257),2026-07-03,CL - CAMPO LIMPO,SIGRC
risco_ocorrencia_alagamento.1009,1009,2026-02-22,ALAGAMENTO,,POINT (-46.761696000000846 -23.668892415906218),2026-07-03,MB - MBOI MIRIM,SIGRC
risco_ocorrencia_alagamento.1017,1017,2026-02-23,ALAGAMENTO,,POINT (-46.7040333000007 -23.718821915985302),2026-07-03,CS - CAPELA DO SOCORRO,SIGRC
risco_ocorrencia_alagamento.1024,1024,2026-02-24,ALAGAMENTO,,POINT (-46.76645700000085 -23.7177870159836),2026-07-03,MB - MBOI MIRIM,SIGRC
risco_ocorrencia_alagamento.1037,1037,2026-02-25,ALAGAMENTO,,POINT (-46.786164100000924 -23.699814715955124),2026-07-03,MB - MBOI MIRIM,SIGRC
risco_ocorrencia_alagamento.1046,1046,2026-02-26,ALAGAMENTO,,POINT (-46.766721600000835 -23.725046515995107),2026-07-03,MB - MBOI MIRIM,SIGRC
risco_ocorrencia_alagamento.1072,1072,2026-03-08,ALAGAMENTO,,POINT (-46.511717700000375 -23.579794015765675),2026-07-03,AF - Aricanduva/Vila Formosa,SIGRC
risco_ocorrencia_alagamento.1074,1074,2026-03-17,ALAGAMENTO,,POINT (-46.551898500000426 -23.53708461569831),2026-07-03,AF - Aricanduva/Vila Formosa,SIGRC
risco_ocorrencia_alagamento.1075,1075,2026-03-17,ALAGAMENTO,,POINT (-46.55705260000044 -23.539374115701907),2026-07-03,AF - Aricanduva/Vila Formosa,SIGRC
risco_ocorrencia_alagamento.1076,1076,2026-03-17,ALAGAMENTO,,POINT (-46.55132910000042 -23.537420715698836),2026-07-03,AF - Aricanduva/Vila Formosa,SIGRC
risco_ocorrencia_alagamento.1077,1077,2026-03-17,ALAGAMENTO,,POINT (-46.552085800000434 -23.53719501569847),2026-07-03,AF - Aricanduva/Vila Formosa,SIGRC
risco_ocorrencia_alagamento.1078,1078,2026-03-17,ALAGAMENTO,,POINT (-46.547278100000426 -23.550258715719075),2026-07-03,AF - Aricanduva/Vila Formosa,SIGRC
risco_ocorrencia_alagamento.1080,1080,2026-03-26,ALAGAMENTO,,POINT (-46.55295060000044 -23.53674521569777),2026-07-03,AF - Aricanduva/Vila Formosa,SIGRC
risco_ocorrencia_alagamento.1082,1082,2026-03-06,ALAGAMENTO,,POINT (-46.745807900000806 -23.572816815754475),2026-07-03,BT - Butanta,SIGRC
risco_ocorrencia_alagamento.1099,1099,2026-03-26,ALAGAMENTO,,POINT (-46.7853980000009 -23.5946550157889),2026-07-03,BT - Butanta,SIGRC
risco_ocorrencia_alagamento.1114,1114,2026-03-06,ALAGAMENTO,,POINT (-46.78471400000092 -23.66361111589785),2026-07-03,CL - Campo Limpo,SIGRC
risco_ocorrencia_alagamento.1121,1121,2026-03-06,ALAGAMENTO,,POINT (-46.784932000000914 -23.66062631589312),2026-07-03,CL - Campo Limpo,SIGRC
risco_ocorrencia_alagamento.1125,1125,2026-03-06,ALAGAMENTO,,POINT (-46.76482510000085 -23.641582015863037),2026-07-03,CL - Campo Limpo,SIGRC
risco_ocorrencia_alagamento.1133,1133,2026-03-06,ALAGAMENTO,,POINT (-46.7470546000008 -23.623976915835236),2026-07-03,CL - Campo Limpo,SIGRC
risco_ocorrencia_alagamento.1140,1140,2026-03-09,ALAGAMENTO,,POINT (-46.76961760000086 -23.64777531587281),2026-07-03,CL - Campo Limpo,SIGRC
