"Órgão";"Valor previsto para 2026";"Valor Orçado Atualizado";"Valor Congelado";"Valor Descongelado";"Realizado";"Executado (%)"
"Freguesia do Ó/Brasilândia";"65180536";"79762895.13";"7682708";"3087690";"29350191.66";"45.029073802031945"
"Pinheiros";"68522942";"77634113.88";"7111107";"3732995";"30835429.95";"45.00015476568417"
"Cidade Ademar";"63747288";"80815756.2";"11077758";"11077758";"28274750.42";"44.35443656834469"
"Guaianases";"72557951";"85834930.97";"3817925";"1887339";"32056095.41";"44.17998988146729"
"Parelheiros";"72153647";"81270152.35";"5388484";"201495";"31311089.35";"43.39501972783164"
"Santo Amaro";"67164062";"80749835.94";"4803619";"3351257";"28762052.22";"42.82357463728147"
"Vila Mariana";"67606636";"72962668.11";"5805698";"3044042";"28303044.830000002";"41.86429987434961"
"Lapa";"65027256";"71807789.82";"4581753";"1397821";"26886115.19";"41.345916841393404"
"Sé";"190921870";"200058630.94";"14957907";"0";"78570670.17999999";"41.1533106081561"
"Ermelino Matarazzo";"56199677";"64945257.36";"4737798";"2028793.2";"22956182.88";"40.84753526252472"
"Penha";"68567211";"77367908.86";"6677350";"4658534.01";"27968770.11";"40.79029860205339"
"Sapopemba";"46899836";"53975696.01";"7026136";"3588492.41";"19082836.939999998";"40.68849396403006"
"Ipiranga";"75205925";"98279131.57";"4597005";"2276199";"30457801.939999998";"40.49920526873381"
"Vila Prudente";"53600353";"59315060.87";"5773473";"1847711.77";"21442268.66";"40.00396911565116"
"Casa Verde";"56342613";"60214730.3";"16077552";"12477144";"21396265.3";"37.975280450695465"
"Jabaquara";"60860929";"64006604.22";"6279574";"1704735";"22820364.33";"37.49591848984099"
"São Miguel";"73704476";"76951906.32";"13377681";"8785766.09";"27561134.88";"37.39411278088457"
"Capela do Socorro";"64463675";"75716494.25";"16068873";"1986739";"23156249.18";"35.92139166747785"
"M'Boi Mirim";"72312014";"77723865.26";"14574834";"2180862";"25941819.17";"35.874839788033015"
"Itaim Paulista";"63610561";"65037033.67";"7899384";"2220261";"22809871.37";"35.8586231773683"
"Aricanduva/Vila Formosa";"64016421";"60664616.05";"9698480";"8053164";"22108750.66";"34.536061708292"
"Pirituba/Jaraguá";"62454545";"85985590.72";"3614412";"3274084";"21299363.880000003";"34.10378520890674"
"Cidade Tiradentes";"53125591";"55900655";"2534986";"1724936";"17964131.09";"33.81445881703227"
"Vila Maria/Vila Guilherme";"52593572";"55673673.7";"8133870";"3490789";"17733254.11";"33.71753131732524"
"Mooca";"92394859";"94226429.37";"12181604";"4800000";"30610132.88";"33.12969272457031"
"São Mateus";"84962451";"91280371.45";"21087993";"9000000";"27990445.96";"32.94448974877149"
"Itaquera";"95877530";"110272080.4";"14049016";"14046063";"31296081.55";"32.64172695103847"
"Campo Limpo";"74465633";"73479770.19";"16572290";"10069965";"23365394.240000002";"31.37741975549983"
"Butantã";"62100000";"79957248.83";"18545894";"2324023";"18467134.35";"29.737736473429955"
"Jaçanã/Tremembé";"55667118";"55915166.53";"10707805";"4100000";"15243392.51";"27.383117821907"
"Santana/Tucuruvi";"70801299";"72817227.81";"9567988";"4035046.24";"18374511.66";"25.952223927416924"
"Perus";"61644976";"51651901.38";"24235394";"21386735";"15521684.29";"25.179155378371792"
