nome_bairro,cd_distrito,tipo_osm,latitude,longitude
Aclimação,49,suburb,-23.5671021,-46.6268011
Água Branca,48,suburb,-23.5117516,-46.7021626
Água Fria,70,suburb,-23.4817879,-46.6249900
Água Rasa,1,suburb,-23.5661088,-46.5707669
Alto Alegre,33,neighbourhood,-23.6133950,-46.4317462
Alto da Lapa,48,neighbourhood,-23.5273913,-46.7130594
Alto de Pinheiros,2,suburb,-23.5499064,-46.7076422
Alto de Santana,70,suburb,-23.4887815,-46.6300515
Alto do Rivieira,43,suburb,-23.6993644,-46.7617207
Anhanguera,3,suburb,-23.4209929,-46.8079644
Aricanduva,4,suburb,-23.5780239,-46.5114540
Artur Alvim,5,suburb,-23.5404687,-46.4897914
Bairro da Coroa,86,suburb,-23.5190497,-46.6130701
Bairro da Luz,9,suburb,-23.5336388,-46.6319611
Bairro Siciliano,48,suburb,-23.5343382,-46.6983219
Bancários,25,quarter,-23.6023000,-46.4046221
Barra Funda,6,suburb,-23.5210941,-46.6736608
Barro Branco,25,quarter,-23.5827527,-46.3926763
Bela Aliança,88,suburb,-23.5248526,-46.7225147
Bela Vista,7,suburb,-23.5601219,-46.6500338
Belém,8,suburb,-23.5348833,-46.5949387
Bixiga,7,suburb,-23.5577085,-46.6468132
Boaçava,2,suburb,-23.5403130,-46.7226097
Bom Retiro,9,suburb,-23.5251634,-46.6381644
Bortolândia,81,suburb,-23.4546742,-46.5984420
Bosque da Saúde,27,suburb,-23.6094152,-46.6251697
Brás,10,suburb,-23.5429572,-46.6172504
Brasilândia,11,suburb,-23.4649661,-46.6913891
Brooklin Novo,35,suburb,-23.6214866,-46.6883182
Brooklin Velho,15,suburb,-23.6271355,-46.6801055
Burgo Paulista,64,suburb,-23.5253848,-46.4823717
Buritizinho,47,quarter,-23.5836108,-46.4234562
Butantã,12,suburb,-23.5693582,-46.7278225
Caboré - Vila Gil,47,quarter,-23.5922311,-46.4373311
Cachoeirinha,13,suburb,-23.4630177,-46.6610721
Cambuci,14,suburb,-23.5673017,-46.6184710
Campinha,16,quarter,-23.6753654,-46.6849086
Campo Belo,15,suburb,-23.6299339,-46.6704170
Campo Grande,16,quarter,-23.6722214,-46.6846280
Campo Limpo,17,suburb,-23.6361999,-46.7627968
Campos Elísios,69,suburb,-23.5320539,-46.6477400
Cangaíba,18,suburb,-23.5058996,-46.5314253
Canindé,56,suburb,-23.5269919,-46.6205256
Capão Redondo,19,suburb,-23.6710997,-46.7798413
Carandiru,70,suburb,-23.5122768,-46.6256481
Casa Verde,21,suburb,-23.5059269,-46.6561379
Casa Verde Alta,21,suburb,-23.4976980,-46.6565761
Casa Verde Baixa,21,quarter,-23.5104860,-46.6571046
Caxingui,12,suburb,-23.5804466,-46.7165496
Cerqueira César,45,suburb,-23.5610386,-46.6657633
Chacara Cruzeiro do Sul,18,suburb,-23.5107749,-46.5340548
Chácara Dona Olivia,36,quarter,-23.5132484,-46.3882878
Chácara Everest,65,suburb,-23.5952396,-46.8070705
Chácara Flora,71,suburb,-23.6467650,-46.6854358
Chácara Inglesa,77,suburb,-23.6083070,-46.6323198
Chácara Jaraguá,3,suburb,-23.4380214,-46.7912194
Chácara Monte Alegre,71,suburb,-23.6443730,-46.6769894
Chácara Nani,43,quarter,-23.7092582,-46.7916925
Chácara Santa Maria,43,suburb,-23.6954378,-46.7935638
Chácara Santo Antônio,71,suburb,-23.6298197,-46.7038751
Chacára Três Meninas,44,neighbourhood,-23.4745691,-46.4255970
Cidade Ademar,22,suburb,-23.6730116,-46.6552806
Cidade Antônio Estêvão de Carvalho,37,suburb,-23.5354377,-46.4699282
Cidade Domitila,38,quarter,-23.6628425,-46.6483528
Cidade Dutra,23,suburb,-23.7139643,-46.6990882
Cidade Ipava,43,suburb,-23.7242658,-46.7627688
Cidade Jardim,54,suburb,-23.5898336,-46.6990243
Cidade Líder,24,suburb,-23.5627696,-46.4943334
Cidade Patriarca,91,suburb,-23.5390931,-46.5039285
Cidade Tiradentes,25,suburb,-23.5801711,-46.3970559
Cidade Vargas,38,suburb,-23.6463946,-46.6361930
City América,95,neighbourhood,-23.4994224,-46.7334067
City Jaraguá,42,suburb,-23.4385795,-46.7343069
City Pinheirinho,63,neighbourhood,-23.4822822,-46.7353022
Cohab Monet,19,quarter,-23.6478026,-46.7891447
Cohab Taipas 1,42,neighbourhood,-23.4435012,-46.7156719
Comunidade Corrego Jaboticabal,68,quarter,-23.6424831,-46.6035071
