cd_distrito,nome_distrito,nome_subprefeitura
1,AGUA RASA,MOOCA
2,ALTO DE PINHEIROS,PINHEIROS
3,ANHANGUERA,PERUS-ANHANGUERA
4,ARICANDUVA,ARICANDUVA-FORMOSA-CARRAO
5,ARTUR ALVIM,PENHA
6,BARRA FUNDA,LAPA
7,BELA VISTA,SE
8,BELEM,MOOCA
9,BOM RETIRO,SE
10,BRAS,MOOCA
11,BRASILANDIA,FREGUESIA-BRASILANDIA
12,BUTANTA,BUTANTA
13,CACHOEIRINHA,CASA VERDE-LIMAO-CACHOEIRINHA
14,CAMBUCI,SE
15,CAMPO BELO,SANTO AMARO
16,CAMPO GRANDE,SANTO AMARO
17,CAMPO LIMPO,CAMPO LIMPO
18,CANGAIBA,PENHA
19,CAPAO REDONDO,CAMPO LIMPO
20,CARRAO,ARICANDUVA-FORMOSA-CARRAO
21,CASA VERDE,CASA VERDE-LIMAO-CACHOEIRINHA
22,CIDADE ADEMAR,CIDADE ADEMAR
23,CIDADE DUTRA,CAPELA DO SOCORRO
24,CIDADE LIDER,ITAQUERA
25,CIDADE TIRADENTES,CIDADE TIRADENTES
26,CONSOLACAO,SE
27,CURSINO,IPIRANGA
28,ERMELINO MATARAZZO,ERMELINO MATARAZZO
29,FREGUESIA DO O,FREGUESIA-BRASILANDIA
30,GRAJAU,CAPELA DO SOCORRO
31,GUAIANASES,GUAIANASES
32,MOEMA,VILA MARIANA
33,IGUATEMI,SAO MATEUS
34,IPIRANGA,IPIRANGA
35,ITAIM BIBI,PINHEIROS
36,ITAIM PAULISTA,ITAIM PAULISTA
37,ITAQUERA,ITAQUERA
38,JABAQUARA,JABAQUARA
39,JACANA,JACANA-TREMEMBE
40,JAGUARA,LAPA
41,JAGUARE,LAPA
42,JARAGUA,PIRITUBA-JARAGUA
43,JARDIM ANGELA,M BOI MIRIM
44,JARDIM HELENA,SAO MIGUEL
45,JARDIM PAULISTA,PINHEIROS
46,JARDIM SAO LUIS,M BOI MIRIM
47,JOSE BONIFACIO,ITAQUERA
48,LAPA,LAPA
49,LIBERDADE,SE
50,LIMAO,CASA VERDE-LIMAO-CACHOEIRINHA
51,MANDAQUI,SANTANA-TUCURUVI
52,MARSILAC,PARELHEIROS
53,MOOCA,MOOCA
54,MORUMBI,BUTANTA
55,PARELHEIROS,PARELHEIROS
56,PARI,MOOCA
57,PARQUE DO CARMO,ITAQUERA
58,PEDREIRA,CIDADE ADEMAR
59,PENHA,PENHA
60,PERDIZES,LAPA
61,PERUS,PERUS-ANHANGUERA
62,PINHEIROS,PINHEIROS
63,PIRITUBA,PIRITUBA-JARAGUA
64,PONTE RASA,ERMELINO MATARAZZO
65,RAPOSO TAVARES,BUTANTA
66,REPUBLICA,SE
67,RIO PEQUENO,BUTANTA
68,SACOMA,IPIRANGA
69,SANTA CECILIA,SE
70,SANTANA,SANTANA-TUCURUVI
71,SANTO AMARO,SANTO AMARO
72,SAO LUCAS,VILA PRUDENTE
73,SAO MATEUS,SAO MATEUS
74,SAO MIGUEL,SAO MIGUEL
75,SAO RAFAEL,SAO MATEUS
76,SAPOPEMBA,SAPOPEMBA
77,SAUDE,VILA MARIANA
78,SE,SE
79,SOCORRO,CAPELA DO SOCORRO
80,TATUAPE,MOOCA
81,TREMEMBE,JACANA-TREMEMBE
82,TUCURUVI,SANTANA-TUCURUVI
83,VILA ANDRADE,CAMPO LIMPO
84,VILA CURUCA,ITAIM PAULISTA
85,VILA FORMOSA,ARICANDUVA-FORMOSA-CARRAO
86,VILA GUILHERME,VILA MARIA-VILA GUILHERME
87,VILA JACUI,SAO MIGUEL
88,VILA LEOPOLDINA,LAPA
89,VILA MARIA,VILA MARIA-VILA GUILHERME
90,VILA MARIANA,VILA MARIANA
91,VILA MATILDE,PENHA
92,VILA MEDEIROS,VILA MARIA-VILA GUILHERME
93,VILA PRUDENTE,VILA PRUDENTE
94,VILA SONIA,BUTANTA
95,SAO DOMINGOS,PIRITUBA-JARAGUA
96,LAJEADO,GUAIANASES
